instance,subnetwork,surrogate_prediction,surrogate_true,exact_true,gap_pct,surrogate_construction_s,surrogate_s,exact_construction_s,exact_s,jaccard,archived_exact_objective
202,overall,0.5118177234247113,0.5168536572784483,0.5168536572784483,0.0,89.47994613647461,17.53795289993286,395.071649,72.001559,1.0,0.5168536572772395
202,Visual_Network,0.5942209314985014,0.6307258632840028,0.6307258632840028,0.0,89.47994613647461,14.270527839660645,395.071649,58.28856,0.8823529411764706,0.6307258632840034
202,Multiple_Demand_Extended_Network,0.4989201071572333,0.48731501057082455,0.48731501057082455,0.0,89.47994613647461,15.107778072357178,395.071649,46.484795,0.8888888888888888,0.48731501057081045
203,overall,0.5435247677300624,0.5454322707108221,0.5456625915595575,0.04220938951983892,81.57559370994568,8.926560878753662,521.404152,187.107869,0.782608695652174,0.5456625915595575
203,Visual_Network,0.6721782070259621,0.6576814658210007,0.6576814658210054,0.0,81.57559370994568,6.619124889373779,521.404152,56.891532,0.72,0.6576814658210054
203,Multiple_Demand_Extended_Network,0.5442229584412863,0.5232381959126146,0.5286645525017439,1.026427166991015,81.57559370994568,8.221973896026611,521.404152,68.328456,0.7692307692307693,0.5286645525017439
204,overall,0.5497952336859492,0.5525533890436397,0.5525533890436397,0.0,104.35748672485352,8.275728940963745,417.899454,75.239912,1.0,0.5525533890422828
204,Visual_Network,0.6783090837001744,0.6553911205073996,0.6553911205073996,0.0,104.35748672485352,6.120843172073364,417.899454,43.316273,0.75,0.6553911205074037
204,Multiple_Demand_Extended_Network,0.5532930439658024,0.552413671599718,0.553646934460888,0.22275258552110785,104.35748672485352,7.718817949295044,417.899454,48.222109,0.8636363636363636,0.5536469344608727
205,overall,0.5504514043195002,0.5536301970494171,0.5536301970494171,0.0,103.4318528175354,8.774868965148926,424.16031,83.210137,1.0,0.5536301970479548
205,Visual_Network,0.6840780114160987,0.6434989429175476,0.6435870331219168,0.013687380235407283,103.4318528175354,8.287962913513184,424.16031,55.519449,0.7037037037037037,0.643587033121917
205,Multiple_Demand_Extended_Network,0.5567706911954606,0.5312720225510924,0.5482734319943622,3.1008997429305674,103.4318528175354,13.174647092819214,424.16031,62.294776,0.8181818181818182,0.5482734319943479
206,overall,0.5335874988980657,0.5392448158464872,0.5395414216444857,0.054973684336315005,115.72535490989685,27.093148946762085,394.244236,105.586712,0.8,0.5395414216431617
206,Visual_Network,0.41481882188103764,0.40283650458069065,0.4127906976744186,2.411438326931283,115.72535490989685,19.250198125839233,394.244236,97.71383,0.8,0.41279069767441884
206,Multiple_Demand_Extended_Network,0.6200114565732403,0.6094080338266384,0.6094080338266384,0.0,115.72535490989685,19.48235511779785,394.244236,65.233611,0.6756756756756757,0.6094080338266298
207,overall,0.5058159670131248,0.5150598369957701,0.515217167027752,0.03053664397278394,92.21196746826172,26.4510760307312,367.802385,113.87077,0.8666666666666667,0.5152171670266027
207,Visual_Network,0.6017249148657627,0.5900281888653981,0.5900281888653981,0.0,92.21196746826172,25.589439868927002,367.802385,53.746122,0.825,0.5900281888653905
207,Multiple_Demand_Extended_Network,0.6087524515771909,0.6083509513742071,0.6083509513742071,0.0,92.21196746826172,43.44838881492615,367.802385,57.845026,0.7380952380952381,0.6083509513741984
208,overall,0.49749722806423324,0.5026385020117611,0.5026385020117611,0.0,91.60039138793945,39.89730715751648,377.479875,88.010683,1.0,0.5026385020108212
208,Visual_Network,0.6001371599506704,0.6250880902043692,0.6252642706131079,0.028176951253895365,91.60039138793945,23.234397888183594,377.479875,54.466128,0.8780487804878049,0.6252642706131075
208,Multiple_Demand_Extended_Network,0.5102723158587279,0.5017618040873855,0.5017618040873855,0.0,91.60039138793945,32.6299409866333,377.479875,55.079278,0.972972972972973,0.5017618040873714
